"slug","label","file","copies","url"
"observatory-courts","Observatory","observatory-courts.png",2,"https://www.seattleballmachine.com/q/observatory-courts"
"david-rodgers-park","David Rodgers Park","david-rodgers-park.png",3,"https://www.seattleballmachine.com/q/david-rodgers-park"
"lower-woodland-playfield","Lower Woodland","lower-woodland-playfield.png",10,"https://www.seattleballmachine.com/q/lower-woodland-playfield"
"lower-woodland-upper-courts","Lower Woodland Upper Courts","lower-woodland-upper-courts.png",4,"https://www.seattleballmachine.com/q/lower-woodland-upper-courts"
"wallingford-playfield","Wallingford Playfield","wallingford-playfield.png",2,"https://www.seattleballmachine.com/q/wallingford-playfield"
"magnolia-playfield","Magnolia Playfield","magnolia-playfield.png",4,"https://www.seattleballmachine.com/q/magnolia-playfield"
"magnolia-park","Magnolia Park","magnolia-park.png",2,"https://www.seattleballmachine.com/q/magnolia-park"
